Nombre_Concello,Longitud,Latitud
Maside,-8.01817244423409,42.4194539346141
Vilardevós,-7.3012553346881,41.9015521567747
Brión,-8.7209634523618,42.8517293987177
Cervantes,-6.96659451306973,42.8303713175561
San Cristovo de Cea,-7.95619079388923,42.4988125377154
Ribeira de Piquín,-7.19598255090515,43.1911815250742
"Fonsagrada, A",-7.08023576924985,43.1337034927977
Vilagarcía de Arousa,-8.75152909516694,42.5970280219993
Vilar de Barrio,-7.56162514715083,42.1726425214004
Verea,-7.99124668310719,42.094922738696
Touro,-8.31220457966948,42.8574837928279
Baralla,-7.25256275470042,42.9067158813117
Arteixo,-8.50804982207741,43.2996296887182
"Illa de Arousa, A",-8.87426957789653,42.5517552056024
Taboada,-7.76010310291597,42.7182309281287
"Veiga, A",-6.95886390330379,42.2651328441753
Lousame,-8.83599382850862,42.7652641152746
Lourenzá,-7.28354489776182,43.4544332521577
Monterroso,-7.80259881528701,42.8169552964885
Ourense,-7.88986426452108,42.350746285301
Curtis,-8.04562367163589,43.135192365157
Abadín,-7.49216272698452,43.3725495457305
Carnota,-9.1019621121451,42.8456012239991
"Corgo, O",-7.4345232658549,42.9306338090391
Dozón,-8.04655155566692,42.5900872674569
Viveiro,-7.58815573960806,43.6333849936536
Baiona,-8.844283913471,42.0920812639847
Barbadás,-7.90736764312329,42.3005624041271
Dumbría,-9.0971531994197,42.9884040049194
Ares,-8.25702829566934,43.4377696750861
Navia de Suarna,-6.96420168778767,42.9574583886101
Camariñas,-9.14552486122939,43.1599763227433
Irixoa,-8.06959042111912,43.2854952148423
Teo,-8.56489083774855,42.7972297715299
Culleredo,-8.40621753911224,43.273174834878
Malpica de Bergantiños,-8.81418546668382,43.2971415648999
Barreiros,-7.2295961947085,43.5191312939615
Caldas de Reis,-8.65721640822933,42.615382563273
"Porriño, O",-8.62894190155993,42.1331975955364
Corcubión,-9.19830277491214,42.9315216509393
Coristanco,-8.76800386373045,43.1607798701041
"Rosal, O",-8.83318567829492,41.9399378681033
Rianxo,-8.78568205526004,42.684068800585
Valdoviño,-8.12312481820313,43.6031782928824
"Peroxa, A",-7.80198261998282,42.4555915194059
"Nogais, As",-7.1013786754363,42.7750888655551
Toques,-7.95450678754105,42.9696984201029
"Valadouro, O",-7.48138788993452,43.5378857009831
Cerdido,-7.96207786276921,43.6116979155738
Monforte de Lemos,-7.49329867714706,42.5180713154959
